student_id,name,age,plan,enrollment_months,weekly_frequency,days_since_last_visit,overdue_payments,overdue_days,plan_price,last_visit,enrollment_date,churn_probability,churn,risk_level
MOV-0040,Rafaela Mendes,35,Platinum,1,3,1,0,0,129.9,13/04/2026,15/03/2026,0.34420671254510793,0,baixo
MOV-0041,Thiago Martins,24,Platinum,3,2,5,0,0,129.9,09/04/2026,14/01/2026,0.3209088802634537,0,baixo
MOV-0042,Rafaela Martins,31,Platinum,2,2,1,1,1,129.9,13/04/2026,13/02/2026,0.45349677592768134,0,medio
MOV-0043,João Mendes,48,Basic Fit,2,6,2,0,0,79.9,12/04/2026,13/02/2026,0.1460904434771621,0,baixo
MOV-0044,Pedro Barbosa,47,Basic Fit,30,4,7,0,0,79.9,07/04/2026,27/10/2023,0.17981070370379498,0,baixo
MOV-0045,Thiago Nascimento,54,Platinum,15,4,9,0,0,129.9,05/04/2026,19/01/2025,0.32405969874413526,0,baixo
MOV-0046,Igor Carvalho,48,Basic Fit,16,3,2,0,0,79.9,12/04/2026,20/12/2024,0.18956641618194542,0,baixo
MOV-0047,Pedro Silva,56,Black VIP,18,3,3,1,13,189.9,11/04/2026,21/10/2024,0.13688155072149888,0,baixo
MOV-0048,Felipe Rocha,36,Platinum,5,1,2,0,0,129.9,12/04/2026,15/11/2025,0.4812488934263781,0,medio
MOV-0049,Igor Silva,22,Platinum,17,1,3,0,0,129.9,11/04/2026,20/11/2024,0.4220503801320939,0,medio
MOV-0050,Mariana Martins,21,Platinum,46,1,3,0,0,129.9,11/04/2026,04/07/2022,0.33211834163032855,0,baixo
MOV-0051,Isabela Pereira,45,Platinum,14,0,5,0,0,129.9,09/04/2026,18/02/2025,0.41598553797531895,0,medio
MOV-0052,Diego Araújo,32,Basic Fit,6,3,6,0,0,79.9,08/04/2026,16/10/2025,0.4309585229019575,0,medio
MOV-0053,Helena Santos,33,Basic Fit,15,2,18,1,5,79.9,27/03/2026,19/01/2025,0.9009063795421686,1,alto
MOV-0054,Bruno Silva,26,Black VIP,27,2,2,0,0,189.9,12/04/2026,25/01/2024,0.16667727536983915,0,baixo
MOV-0055,Mateus Lima,27,Platinum,1,1,0,0,0,129.9,14/04/2026,15/03/2026,0.45663850772922443,0,medio
MOV-0056,Juliana Rocha,35,Basic Fit,3,3,5,0,0,79.9,09/04/2026,14/01/2026,0.2828573971787354,0,baixo
MOV-0057,Larissa Ferreira,21,Platinum,30,2,3,0,0,129.9,11/04/2026,27/10/2023,0.2799338473889341,0,baixo
MOV-0058,Bianca Rocha,34,Basic Fit,35,1,9,0,0,79.9,05/04/2026,30/05/2023,0.5460575705624665,1,medio
MOV-0059,Igor Martins,47,Platinum,7,3,0,0,0,129.9,14/04/2026,16/09/2025,0.08869022565381719,0,baixo
MOV-0060,Mariana Oliveira,16,Platinum,5,7,5,1,4,129.9,09/04/2026,15/11/2025,0.4480594184016111,0,medio
MOV-0061,Carlos Mendes,16,Platinum,3,1,3,1,1,129.9,11/04/2026,14/01/2026,0.6287666515593984,1,medio
MOV-0062,Ricardo Lima,38,Basic Fit,8,2,2,0,0,79.9,12/04/2026,17/08/2025,0.40292028195749646,0,medio
MOV-0063,Bruno Almeida,45,Basic Fit,32,2,4,0,0,79.9,10/04/2026,28/08/2023,0.2466402731833928,0,baixo
MOV-0064,Helena Santos,27,Platinum,1,4,5,1,6,129.9,09/04/2026,15/03/2026,0.4791010408061782,0,medio
MOV-0065,Carlos Santos,16,Basic Fit,6,3,9,0,0,79.9,05/04/2026,16/10/2025,0.4011543130397073,0,medio
MOV-0066,Eduardo Carvalho,46,Platinum,29,3,1,0,0,129.9,13/04/2026,26/11/2023,0.05,0,baixo
MOV-0067,Rafaela Santos,23,Black VIP,5,2,1,0,0,189.9,13/04/2026,15/11/2025,0.29451920024885214,0,baixo
MOV-0068,Carlos Lima,28,Basic Fit,17,4,3,0,0,79.9,11/04/2026,20/11/2024,0.21377491619671574,0,baixo
MOV-0069,Larissa Ribeiro,35,Platinum,5,6,2,1,7,129.9,12/04/2026,15/11/2025,0.40595631129368126,0,medio
MOV-0070,Gabriel Ferreira,25,Platinum,19,3,4,0,0,129.9,10/04/2026,21/09/2024,0.35726838742072153,0,baixo
MOV-0071,Thiago Carvalho,23,Platinum,47,5,1,0,0,129.9,13/04/2026,04/06/2022,0.23330903415906512,0,baixo
MOV-0072,Larissa Alencar,23,Basic Fit,5,3,1,0,0,79.9,13/04/2026,15/11/2025,0.28072341500197406,0,baixo
MOV-0073,Bianca Nascimento,50,Basic Fit,22,3,1,1,8,79.9,13/04/2026,23/06/2024,0.4175384114153978,0,medio
MOV-0074,Diego Rocha,43,Basic Fit,53,1,24,0,0,79.9,21/03/2026,06/12/2021,0.8416420049251409,1,alto
MOV-0075,William Dias,37,Black VIP,49,4,9,1,19,189.9,05/04/2026,05/04/2022,0.42760456834971866,0,medio
MOV-0076,André Costa,16,Basic Fit,6,2,9,1,7,79.9,05/04/2026,16/10/2025,0.7524156847481525,1,alto
MOV-0077,Natália Lima,37,Platinum,7,7,3,1,3,129.9,11/04/2026,16/09/2025,0.46623915858853165,0,medio
MOV-0078,Ricardo Rocha,37,Basic Fit,4,4,3,0,0,79.9,11/04/2026,15/12/2025,0.28425298726430415,0,baixo
MOV-0079,Pedro Carvalho,19,Black VIP,4,2,0,0,0,189.9,14/04/2026,15/12/2025,0.3347665007541679,0,baixo
MOV-0080,Lucas Costa,34,Platinum,8,0,1,1,7,129.9,13/04/2026,17/08/2025,0.6805046955688782,1,medio
MOV-0081,Pedro Rocha,42,Platinum,2,4,11,1,1,129.9,03/04/2026,13/02/2026,0.8635773248430143,1,alto
MOV-0082,Mateus Gomes,37,Basic Fit,14,4,3,0,0,79.9,11/04/2026,18/02/2025,0.2892231185416002,0,baixo
MOV-0083,Letícia Oliveira,25,Basic Fit,9,3,21,0,0,79.9,24/03/2026,18/07/2025,0.7569305527571916,1,alto
MOV-0084,Juliana Nascimento,32,Platinum,27,3,4,0,0,129.9,10/04/2026,25/01/2024,0.20727606556113362,0,baixo
MOV-0085,Natália Souza,39,Platinum,19,3,2,1,53,129.9,12/04/2026,21/09/2024,0.5068321411713828,1,medio
MOV-0086,Bianca Almeida,32,Basic Fit,4,4,1,0,0,79.9,13/04/2026,15/12/2025,0.3148837905215996,0,baixo
MOV-0087,Mariana Dias,44,Black VIP,8,1,12,0,0,189.9,02/04/2026,17/08/2025,0.8518705885601111,1,alto
MOV-0088,Natália Pereira,35,Basic Fit,16,3,2,0,0,79.9,12/04/2026,20/12/2024,0.3236938821402667,0,baixo
MOV-0089,Larissa Rocha,39,Basic Fit,2,1,0,0,0,79.9,14/04/2026,13/02/2026,0.5443383135563529,1,medio
MOV-0090,Natália Silva,40,Black VIP,1,2,1,1,1,189.9,13/04/2026,15/03/2026,0.4091888769938125,0,medio
MOV-0091,Carlos Dias,21,Black VIP,22,1,5,0,0,189.9,09/04/2026,23/06/2024,0.40167400235726514,0,medio
MOV-0092,Pedro Ferreira,32,Platinum,1,4,0,0,0,129.9,14/04/2026,15/03/2026,0.30929965457111835,0,baixo
MOV-0093,Bruno Rocha,28,Black VIP,26,2,0,0,0,189.9,14/04/2026,24/02/2024,0.23659430900986095,0,baixo
MOV-0094,Fernanda Martins,42,Platinum,29,2,3,1,3,129.9,11/04/2026,26/11/2023,0.4014280861894696,0,medio
MOV-0095,Mateus Ferreira,36,Basic Fit,7,2,0,0,0,79.9,14/04/2026,16/09/2025,0.3817443368896287,0,baixo
MOV-0096,Natália Lima,30,Platinum,19,4,2,0,0,129.9,12/04/2026,21/09/2024,0.3806778226697055,0,baixo
MOV-0097,Carlos Gomes,19,Platinum,5,5,1,0,0,129.9,13/04/2026,15/11/2025,0.3411191242100961,0,baixo
MOV-0098,Juliana Almeida,16,Basic Fit,23,4,2,0,0,79.9,12/04/2026,24/05/2024,0.28761225015828423,0,baixo
MOV-0099,Isabela Carvalho,35,Basic Fit,20,6,3,1,8,79.9,11/04/2026,22/08/2024,0.5434123523957523,1,medio
MOV-0100,Mateus Ferreira,24,Basic Fit,1,4,1,0,0,79.9,13/04/2026,15/03/2026,0.3234813513728732,0,baixo
MOV-0101,Camila Araújo,38,Black VIP,10,3,2,0,0,189.9,12/04/2026,18/06/2025,0.30714738044647893,0,baixo
MOV-0102,Natália Araújo,16,Basic Fit,12,7,2,0,0,79.9,12/04/2026,19/04/2025,0.35611040656327514,0,baixo
MOV-0103,Larissa Dias,47,Basic Fit,1,2,7,0,0,79.9,07/04/2026,15/03/2026,0.5228732031583221,1,medio
MOV-0104,Mariana Rocha,38,Platinum,46,5,5,1,40,129.9,09/04/2026,04/07/2022,0.5238351183086253,1,medio
MOV-0105,Ana Santos,32,Platinum,6,4,10,0,0,129.9,04/04/2026,16/10/2025,0.42738842108612957,0,medio
MOV-0106,William Lima,48,Platinum,8,6,5,0,0,129.9,09/04/2026,17/08/2025,0.1903519038951505,0,baixo
MOV-0107,William Araújo,41,Basic Fit,2,5,0,1,2,79.9,14/04/2026,13/02/2026,0.4050371337234072,0,medio
MOV-0108,Mateus Araújo,27,Platinum,11,4,3,0,0,129.9,11/04/2026,19/05/2025,0.3459252607014403,0,baixo
MOV-0109,Ana Oliveira,32,Basic Fit,19,3,6,0,0,79.9,08/04/2026,21/09/2024,0.5351461889538739,1,medio
MOV-0110,Bianca Lima,16,Basic Fit,10,2,9,0,0,79.9,05/04/2026,18/06/2025,0.4884747810426089,0,medio
MOV-0111,Carlos Silva,42,Platinum,18,2,1,0,0,129.9,13/04/2026,21/10/2024,0.4169853902308089,0,medio
MOV-0112,Diego Oliveira,29,Platinum,15,4,1,0,0,129.9,13/04/2026,19/01/2025,0.3321135283418513,0,baixo
MOV-0113,João Almeida,16,Black VIP,3,2,9,0,0,189.9,05/04/2026,14/01/2026,0.4836247383366839,0,medio
MOV-0114,Larissa Souza,20,Platinum,6,1,3,0,0,129.9,11/04/2026,16/10/2025,0.4408869793154938,0,medio
MOV-0115,Ricardo Costa,40,Basic Fit,1,2,3,0,0,79.9,11/04/2026,15/03/2026,0.3564048643741648,0,baixo
MOV-0116,Ricardo Pereira,48,Basic Fit,1,2,3,0,0,79.9,11/04/2026,15/03/2026,0.24615012231999828,0,baixo
MOV-0117,Isabela Araújo,32,Platinum,1,5,0,0,0,129.9,14/04/2026,15/03/2026,0.2817420912446679,0,baixo
MOV-0118,Fernanda Lima,22,Basic Fit,34,6,4,1,7,79.9,10/04/2026,29/06/2023,0.3018805231759807,0,baixo
MOV-0119,Camila Oliveira,17,Platinum,50,6,8,0,0,129.9,06/04/2026,06/03/2022,0.3982139446217047,0,baixo
MOV-0120,Fernanda Pereira,46,Platinum,1,1,9,0,0,129.9,05/04/2026,15/03/2026,0.46782918246476135,0,medio
MOV-0121,Vanessa Mendes,36,Platinum,4,1,0,0,0,129.9,14/04/2026,15/12/2025,0.4984100694199614,0,medio
MOV-0122,Carlos Ferreira,28,Platinum,1,4,6,0,0,129.9,08/04/2026,15/03/2026,0.56196063865209,1,medio
MOV-0123,Bianca Souza,26,Basic Fit,21,6,0,0,0,79.9,14/04/2026,23/07/2024,0.35151545498036607,0,baixo
MOV-0124,Vanessa Santos,38,Basic Fit,8,2,17,0,0,79.9,28/03/2026,17/08/2025,0.8322893987301176,1,alto
MOV-0125,Camila Costa,38,Platinum,11,6,3,0,0,129.9,11/04/2026,19/05/2025,0.32004495820266915,0,baixo
MOV-0126,Diego Santos,23,Platinum,9,6,7,0,0,129.9,07/04/2026,18/07/2025,0.4644504301178078,0,medio
MOV-0127,Diego Dias,20,Platinum,14,7,4,1,68,129.9,10/04/2026,18/02/2025,0.4772537727767715,0,medio
MOV-0128,Gabriel Dias,21,Platinum,4,1,15,0,0,129.9,30/03/2026,15/12/2025,0.95,1,alto
MOV-0129,Igor Silva,27,Basic Fit,1,4,18,0,0,79.9,27/03/2026,15/03/2026,0.8072105075682616,1,alto
MOV-0130,Helena Rocha,25,Basic Fit,1,5,1,0,0,79.9,13/04/2026,15/03/2026,0.2960524656174541,0,baixo
MOV-0131,Yasmin Martins,48,Basic Fit,7,2,3,0,0,79.9,11/04/2026,16/09/2025,0.2674211657935395,0,baixo
MOV-0132,Carlos Pereira,26,Platinum,28,1,3,0,0,129.9,11/04/2026,26/12/2023,0.42624710949190164,0,medio
MOV-0133,Bianca Barbosa,19,Platinum,4,1,0,1,13,129.9,14/04/2026,15/12/2025,0.6826712457350599,1,medio
MOV-0134,Ricardo Alencar,20,Black VIP,2,3,11,0,0,189.9,03/04/2026,13/02/2026,0.6173184534751945,1,medio
MOV-0135,Bruno Rocha,30,Black VIP,31,2,2,0,0,189.9,12/04/2026,27/09/2023,0.22032937572642794,0,baixo
MOV-0136,Bianca Mendes,16,Platinum,1,5,0,0,0,129.9,14/04/2026,15/03/2026,0.3860413111562545,0,baixo
MOV-0137,Larissa Mendes,31,Platinum,1,2,0,0,0,129.9,14/04/2026,15/03/2026,0.3788029769176287,0,baixo
MOV-0138,Felipe Dias,18,Platinum,25,4,3,0,0,129.9,11/04/2026,25/03/2024,0.18698144851009113,0,baixo
MOV-0139,Bianca Araújo,43,Basic Fit,14,4,10,0,0,79.9,04/04/2026,18/02/2025,0.49130475660181727,0,medio
MOV-0140,Ana Silva,33,Basic Fit,6,3,4,0,0,79.9,10/04/2026,16/10/2025,0.34647437054162444,0,baixo
MOV-0141,Vanessa Almeida,53,Platinum,16,3,1,0,0,129.9,13/04/2026,20/12/2024,0.2109643749726839,0,baixo
MOV-0142,Eduardo Lima,29,Basic Fit,16,4,1,1,14,79.9,13/04/2026,20/12/2024,0.4442710077781053,0,medio
MOV-0143,Mateus Ferreira,16,Platinum,1,3,18,0,0,129.9,27/03/2026,15/03/2026,0.7767985436169401,1,alto
MOV-0144,Igor Santos,46,Platinum,13,2,0,0,0,129.9,14/04/2026,20/03/2025,0.32700376520335295,0,baixo
MOV-0145,Diego Mendes,37,Basic Fit,12,3,25,0,0,79.9,20/03/2026,19/04/2025,0.7095756982533872,1,alto
MOV-0146,Vanessa Santos,38,Platinum,39,4,11,0,0,129.9,03/04/2026,30/01/2023,0.5807919218530162,1,medio
MOV-0147,Camila Silva,21,Basic Fit,40,0,5,0,0,79.9,09/04/2026,31/12/2022,0.43940910640089703,0,medio
MOV-0148,Isabela Dias,31,Black VIP,5,1,14,0,0,189.9,31/03/2026,15/11/2025,0.891482700507863,1,alto
MOV-0149,Lucas Araújo,33,Platinum,10,0,0,0,0,129.9,14/04/2026,18/06/2025,0.47940709244258173,0,medio
MOV-0150,Helena Costa,29,Platinum,1,3,14,0,0,129.9,31/03/2026,15/03/2026,0.717747491643811,1,alto
MOV-0151,Fernanda Martins,16,Basic Fit,1,1,1,1,54,79.9,13/04/2026,15/03/2026,0.7461675108363142,1,alto
MOV-0152,Camila Santos,59,Basic Fit,6,5,3,0,0,79.9,11/04/2026,16/10/2025,0.20065937641566453,0,baixo
MOV-0153,Vanessa Santos,40,Basic Fit,14,3,3,0,0,79.9,11/04/2026,18/02/2025,0.3474205898962623,0,baixo
MOV-0154,Felipe Barbosa,36,Basic Fit,10,1,3,0,0,79.9,11/04/2026,18/06/2025,0.5112402340278418,1,medio
MOV-0155,Rafaela Barbosa,45,Platinum,6,4,1,0,0,129.9,13/04/2026,16/10/2025,0.2762100786488241,0,baixo
MOV-0156,Ana Santos,38,Platinum,20,4,7,0,0,129.9,07/04/2026,22/08/2024,0.32445644578359556,0,baixo
MOV-0157,Vanessa Ferreira,25,Basic Fit,18,4,6,0,0,79.9,08/04/2026,21/10/2024,0.4725339454802957,0,medio
MOV-0158,Daniela Silva,44,Platinum,15,4,15,0,0,129.9,30/03/2026,19/01/2025,0.7835039231306898,1,alto
MOV-0159,Daniela Silva,40,Basic Fit,1,5,3,1,10,79.9,11/04/2026,15/03/2026,0.44283144047857714,0,medio
MOV-0160,Rafaela Mendes,25,Platinum,19,3,3,0,0,129.9,11/04/2026,21/09/2024,0.41663259930411645,0,medio
MOV-0161,Camila Martins,39,Platinum,30,4,11,0,0,129.9,03/04/2026,27/10/2023,0.6130077599918562,1,medio
MOV-0162,Gabriel Santos,29,Platinum,1,5,12,0,0,129.9,02/04/2026,15/03/2026,0.8239528650943237,1,alto
MOV-0163,William Silva,34,Basic Fit,6,3,5,0,0,79.9,09/04/2026,16/10/2025,0.3381291275849247,0,baixo
MOV-0164,Vanessa Almeida,37,Basic Fit,53,3,8,0,0,79.9,06/04/2026,06/12/2021,0.34085475148879096,0,baixo
MOV-0165,Mateus Gomes,45,Platinum,10,3,3,1,1,129.9,11/04/2026,18/06/2025,0.36996991212925723,0,baixo
MOV-0166,Letícia Ribeiro,25,Black VIP,8,5,2,0,0,189.9,12/04/2026,17/08/2025,0.2895830912510276,0,baixo
MOV-0167,Natália Souza,35,Platinum,2,5,9,0,0,129.9,05/04/2026,13/02/2026,0.45279655714350775,0,medio
MOV-0168,Fernanda Nascimento,52,Platinum,10,2,7,1,1,129.9,07/04/2026,18/06/2025,0.6202086536642947,1,medio
MOV-0169,Diego Martins,30,Basic Fit,6,3,1,0,0,79.9,13/04/2026,16/10/2025,0.30339608630639847,0,baixo
MOV-0170,Mateus Oliveira,33,Platinum,1,4,0,0,0,129.9,14/04/2026,15/03/2026,0.3726049661367357,0,baixo
MOV-0171,João Silva,52,Platinum,7,1,4,0,0,129.9,10/04/2026,16/09/2025,0.27862987345741536,0,baixo
MOV-0172,Bianca Carvalho,38,Platinum,2,7,9,1,17,129.9,05/04/2026,13/02/2026,0.5327673407893737,1,medio
MOV-0173,Carlos Lima,17,Platinum,15,2,1,0,0,129.9,13/04/2026,19/01/2025,0.35986948824859355,0,baixo
MOV-0174,Bianca Mendes,24,Basic Fit,43,1,7,1,3,79.9,07/04/2026,02/10/2022,0.5916367371399845,1,medio
MOV-0175,Diego Costa,38,Black VIP,7,1,2,0,0,189.9,12/04/2026,16/09/2025,0.43576895816361677,0,medio
MOV-0176,Bruno Araújo,36,Platinum,12,1,2,0,0,129.9,12/04/2026,19/04/2025,0.4619808293399958,0,medio
MOV-0177,William Almeida,33,Basic Fit,6,3,0,0,0,79.9,14/04/2026,16/10/2025,0.3375536118677858,0,baixo
MOV-0178,Bianca Ribeiro,53,Platinum,1,4,13,1,9,129.9,01/04/2026,15/03/2026,0.6532053487448586,1,medio
MOV-0179,João Souza,25,Basic Fit,42,5,1,0,0,79.9,13/04/2026,01/11/2022,0.2576137492209802,0,baixo
MOV-0180,Bruno Ferreira,31,Platinum,1,5,1,0,0,129.9,13/04/2026,15/03/2026,0.30427796653112205,0,baixo
MOV-0181,Eduardo Araújo,16,Platinum,1,5,2,1,12,129.9,12/04/2026,15/03/2026,0.4954505611145488,0,medio
MOV-0182,Rafaela Santos,43,Black VIP,7,2,1,0,0,189.9,13/04/2026,16/09/2025,0.2913949355043519,0,baixo
MOV-0183,Bianca Silva,24,Platinum,12,5,0,0,0,129.9,14/04/2026,19/04/2025,0.2166657978092008,0,baixo
MOV-0184,Camila Silva,42,Platinum,5,5,2,0,0,129.9,12/04/2026,15/11/2025,0.3660554448885821,0,baixo
MOV-0185,Bruno Barbosa,41,Platinum,2,2,3,0,0,129.9,11/04/2026,13/02/2026,0.41744969965776574,0,medio
MOV-0186,Felipe Alencar,55,Platinum,20,1,4,0,0,129.9,10/04/2026,22/08/2024,0.39799229729244634,0,baixo
MOV-0187,Letícia Santos,38,Platinum,5,5,0,0,0,129.9,14/04/2026,15/11/2025,0.3062747824559866,0,baixo
MOV-0188,Helena Ribeiro,28,Basic Fit,2,7,7,0,0,79.9,07/04/2026,13/02/2026,0.5418915462168021,1,medio
MOV-0189,Isabela Barbosa,36,Basic Fit,5,3,1,0,0,79.9,13/04/2026,15/11/2025,0.42603114141959275,0,medio
MOV-0190,Thiago Oliveira,24,Black VIP,2,2,12,0,0,189.9,02/04/2026,13/02/2026,0.8188165399852091,1,alto
MOV-0191,Mateus Alencar,35,Platinum,8,7,1,1,16,129.9,13/04/2026,17/08/2025,0.3792724527336588,0,baixo
MOV-0192,Ana Araújo,29,Basic Fit,13,2,9,1,1,79.9,05/04/2026,20/03/2025,0.692673714175838,1,medio
MOV-0193,Helena Silva,31,Basic Fit,19,2,2,0,0,79.9,12/04/2026,21/09/2024,0.3465764129596131,0,baixo
MOV-0194,Igor Pereira,23,Black VIP,3,1,3,1,21,189.9,11/04/2026,14/01/2026,0.5025521077078614,1,medio
MOV-0195,Letícia Mendes,35,Platinum,2,5,2,1,37,129.9,12/04/2026,13/02/2026,0.5439050371683198,1,medio
MOV-0196,Gabriel Alencar,40,Platinum,1,1,2,0,0,129.9,12/04/2026,15/03/2026,0.5576100904410151,1,medio
MOV-0197,Ricardo Santos,16,Platinum,3,0,4,1,4,129.9,10/04/2026,14/01/2026,0.6283586153097562,1,medio
MOV-0198,Yasmin Nascimento,25,Basic Fit,1,2,5,1,7,79.9,09/04/2026,15/03/2026,0.5011408343290656,1,medio
MOV-0199,Bianca Rocha,33,Basic Fit,5,3,10,0,0,79.9,04/04/2026,15/11/2025,0.4347796979775098,0,medio
MOV-0200,Felipe Costa,16,Basic Fit,1,2,4,0,0,79.9,10/04/2026,15/03/2026,0.4843791131015505,0,medio
MOV-0201,Pedro Dias,49,Platinum,10,4,1,0,0,129.9,13/04/2026,18/06/2025,0.17633401596406828,0,baixo
MOV-0202,Carlos Martins,24,Black VIP,5,2,22,0,0,189.9,23/03/2026,15/11/2025,0.7146226359757758,1,alto
MOV-0203,Rafaela Mendes,22,Basic Fit,1,5,5,0,0,79.9,09/04/2026,15/03/2026,0.38746275148478093,0,baixo
MOV-0204,Rafaela Almeida,29,Black VIP,6,1,2,1,20,189.9,12/04/2026,16/10/2025,0.576616792810895,1,medio
MOV-0205,Diego Carvalho,33,Platinum,2,3,17,0,0,129.9,28/03/2026,13/02/2026,0.7080825247737182,1,alto
MOV-0206,Bianca Oliveira,24,Platinum,13,1,15,0,0,129.9,30/03/2026,20/03/2025,0.9255856547273302,1,alto
MOV-0207,Ana Gomes,41,Platinum,5,2,0,0,0,129.9,14/04/2026,15/11/2025,0.3391432414084358,0,baixo
MOV-0208,Felipe Araújo,35,Platinum,1,2,0,0,0,129.9,14/04/2026,15/03/2026,0.3735027268408452,0,baixo
MOV-0209,Camila Alencar,23,Platinum,5,5,0,0,0,129.9,14/04/2026,15/11/2025,0.2968646526145782,0,baixo
MOV-0210,Fernanda Carvalho,26,Basic Fit,3,2,5,1,4,79.9,09/04/2026,14/01/2026,0.5399806906226677,1,medio
